Song Title, Notes, Action, Avalability?
Zelda Lullaby, xayxay, learn to begin quest, true
Saria Song, ryxryx, contact saria, false
Epona Song, axyaxy, summon epona, false
Sun Song, yrayra, day/ night switch, false
Song of Time, ylrylr, earn special ability, false
Song of Storms, lralra, make it rain, false
Minuet of Forest, laxyxy, warp to forest temple, false
Bolero of Fire, rlrlyryr, warp to fire temple, false
Serenade of water, lryyx, warp to water temple, false
Nocturne of Shadow, xyylxyr, warp to shadow temple, false
Requiem of Spirit, lrlyrl, warp to spirit temple, false
Prelude of Light, ayayxa, warp to temple of time, false
